Iteration,rank,player_id,n_games,rating
1,1,Acidovorax,20,1754.819711987937
1,2,Pseudarcicella,20,1307.1860014062781
1,3,f_Comamonadaceae,20,1219.9367403803944
1,4,Rhodoferax,20,1178.864275776686
1,5,Flavobacterium,20,1154.0474043249321
1,6,Aquabacterium,19,1141.9748408750213
1,7,Caulobacter,3,1109.7425194196471
1,8,Pseudomonas,18,1076.8610523531402
1,9,Aeromonas,20,1075.810837610538
1,10,f_Caulobacteraceae,2,1066.923348755989
1,11,Brevundimonas,2,1044.5622886548774
1,12,Chitinibacter,3,1033.3801020464455
1,13,Limnohabitans,19,1028.0539516100891
1,14,Bradyrhizobium,1,1024.4262293217278
1,15,Emticicia,1,1016.0145169972662
1,16,Ramlibacter,19,1015.345728
1,17,Deefgea,6,1013.7835637571145
1,18,Paucibacter,12,997.7543336803325
1,19,Delftia,7,988.0748708554014
1,20,Cellvibrio,6,974.9974079548941
1,21,Duganella,9,968.9773324130382
1,22,Ottowia,17,968.3130671119397
1,23,Ferribacterium,5,954.2870787994716
1,24,Dechloromonas,9,949.8275426479961
1,25,Polaromonas,10,948.9924591681033
1,26,Comamonas,9,942.0840035960882
1,27,Rheinheimera,8,938.9029053195777
1,28,Pelomonas,16,925.1068070271349
1,29,Curvibacter,19,924.2847995962076
1,30,Caenimonas,7,906.3799570231721
1,31,Variovorax,12,898.8915847014304
1,32,Bosea,6,892.0774625085877
1,33,f_Rhodocyclaceae,7,888.9750037424009
1,34,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,5,883.5426556370728
1,35,Massilia,11,864.8877163780197
1,36,Candidatus Symbiobacter,12,849.9215827351329
1,37,Rhizobacter,17,842.7670664572679
1,38,Rivibacter,12,828.3947137461912
1,39,Leptothrix,9,824.2677178828112
1,40,Sphaerotilus,16,788.4326568606217
1,41,Methylibium,15,788.1261609487327
2,1,Acidovorax,20,1791.6220212236349
2,2,f_Comamonadaceae,20,1287.7438179782848
2,3,Pseudarcicella,20,1279.4163529903149
2,4,Aquabacterium,19,1215.0274421995932
2,5,Flavobacterium,20,1164.925762817752
2,6,Rhodoferax,20,1126.5179611578856
2,7,Caulobacter,3,1090.195903397189
2,8,Aeromonas,20,1076.572079324505
2,9,f_Caulobacteraceae,2,1058.133478620376
2,10,Brevundimonas,2,1036.260050969907
2,11,Limnohabitans,19,1036.0378538041023
2,12,Ramlibacter,19,1033.2196337609003
2,13,Bradyrhizobium,1,1024.0470530019602
2,14,Chitinibacter,3,1022.8052022878226
2,15,Deefgea,6,1017.3728488581432
2,16,Emticicia,1,1016.2931580940125
2,17,Ottowia,17,1014.4222701709479
2,18,Dechloromonas,9,990.8836863924723
2,19,Pseudomonas,18,988.4219138
2,20,Delftia,7,984.8895707248623
2,21,Paucibacter,12,980.5362879
2,22,Duganella,9,968.6004516573051
2,23,Ferribacterium,5,965.5130979744716
2,24,Cellvibrio,6,959.1122369807401
2,25,Rheinheimera,8,939.1215434888991
2,26,Curvibacter,19,922.1599099356378
2,27,Polaromonas,10,910.2756896150715
2,28,Variovorax,12,908.3312112950122
2,29,Comamonas,9,906.3523419742406
2,30,Caenimonas,7,905.5957735
2,31,Pelomonas,16,894.3257653914611
2,32,f_Rhodocyclaceae,7,893.6065895586487
2,33,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,5,883.9562235042606
2,34,Bosea,6,881.8959016852094
2,35,Rhizobacter,17,876.6356059987074
2,36,Massilia,11,864.9213593149269
2,37,Candidatus Symbiobacter,12,838.5886162583607
2,38,Rivibacter,12,835.3904338852378
2,39,Leptothrix,9,817.4264121482493
2,40,Methylibium,15,807.2225946264075
2,41,Sphaerotilus,16,785.6238916848314
3,1,Acidovorax,20,1809.4258540761725
3,2,Aquabacterium,19,1270.485447042338
3,3,Pseudarcicella,20,1268.4990721036725
3,4,Flavobacterium,20,1260.5644261713217
3,5,f_Comamonadaceae,20,1236.7419888634367
3,6,Caulobacter,3,1098.3065950594892
3,7,Rhodoferax,20,1085.408534238603
